0,0,30
0,0,69
-3.48258,-10.43305,69
3.34262,-14.91464,69
-1.37167,-20.99006,69
9.23932,-24.71237,69
-0.994552,-23.67002,69
-7.62537,-24.09517,69
9.57738,-17.60825,69
24.417447,-10.76008,69
25.567963,-0.690387,69
28.984967,6.12366,69
-3.3432,-11.17265,69
-2.012871,-10.72568,69
-24.1595,-9.63007,69
-12.7299,-8.4777,69
-20.3307,-10.1086,69
-14.5854,-5.68307,69
-21.3182,1.25334,69
-32.0454,10.7053,69
4.84792,-3.09089,69
18.101,-1.48624,69
21.8163,-1.83209,69
2.66219,-1.63372,69
-19.0759,2.0574,69
-28.2139,7.33838,69
-9.1422,-4.72491,69
-13.0328,-5.96835,69
9.98793,-6.83447,69
5.08506,-6.44878,79
